city,time,latitude,longitude,summary,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureMin,temperatureMax,dewPoint,humidity,pressure,windSpeed,cloudCover,visibility
Mangalore,2019-11-01 00:00:00,12.9141,74.856,Humid throughout the day.,0.0186,0.1225,0.15,rain,22.17,31.76,21.98,0.75,1011.2,2.54,0.21,7.148
Mangalore,2019-10-28 00:00:00,12.9141,74.856,Possible light rain in the evening.,0.3166,1.0747,0.72,rain,22.94,32.81,23.14,0.77,1010.1,2.2,0.3,6.839
Mangalore,2019-10-30 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,0.8142,1.5688,0.99,rain,24.21,31.15,22.53,0.81,1008.4,4.21,0.87,5.675
Mangalore,2019-10-31 00:00:00,12.9141,74.856,Humid throughout the day.,0.141,0.8513,0.7,rain,23.18,31.69,21.8,0.74,1010.3,3.67,0.42,8.379
Mangalore,2019-10-29 00:00:00,12.9141,74.856,"Light rain until night, starting again in the afternoon.",0.2107,1.2347,0.93,rain,24.01,34.36,22.78,0.77,1008.2,2.04,0.68,7.103
Mangalore,2019-10-25 00:00:00,12.9141,74.856,Rain and humid throughout the day.,1.5906,4.2037,1,rain,23.24,27.33,22.57,0.89,1009.9,3.54,0.74,3.736
Mangalore,2019-10-23 00:00:00,12.9141,74.856,Rain and humid throughout the day.,1.7922,2.8391,1,rain,23.13,30.17,22.28,0.86,1009.3,4.46,0.76,4.244
Mangalore,2019-10-26 00:00:00,12.9141,74.856,Light rain in the morning and afternoon.,0.479,2.1694,0.97,rain,23,30.17,22.67,0.82,1011.3,3.3,0.72,6.592
Mangalore,2019-11-01 00:00:00,12.9141,74.856,Humid throughout the day.,0.0186,0.1225,0.15,rain,22.17,31.76,21.98,0.75,1011.2,2.54,0.21,7.148
Mangalore,2019-10-24 00:00:00,12.9141,74.856,Rain and humid throughout the day.,1.8083,3.3216,1,rain,23.12,28.05,22.93,0.89,1009.3,3.73,0.74,4.053
Mangalore,2019-06-02 00:00:00,12.9141,74.856,Possible light rain in the morning.,0.1319,0.8278,0.67,rain,24.07,32.91,23.79,0.78,1009.2,2.46,0.45,6.348
Mangalore,2018-11-02 00:00:00,12.9141,74.856,"Possible light rain until night, starting again in the afternoon.",0.42,1.2981,0.85,rain,25.98,33.14,23.88,0.76,1010.9,1.75,0.54,6.12
Mangalore,2018-09-19 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.95,30.73,22.31,0.75,,2.66,0.41,6.329
Mangalore,2018-07-06 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.07,27.76,23.09,0.9,,3.62,0.91,3.542
Mangalore,2018-10-25 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.97,34.64,22,0.68,,1.82,,4.819
Mangalore,2018-12-03 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,0.0913,0.3499,0.25,rain,23.14,32.6,21.04,0.67,1011.6,1.45,0.62,6.14
